Frame,X,Y
0,409,112
1,407,112
2,407,114
3,405,113
4,405,114
5,405,115
6,405,114
7,405,115
8,404,115
9,403,115
10,404,114
11,404,115
12,404,115
13,403,115
14,403,116
15,411,142
16,414,197
17,407,255
18,411,289
19,410,298
20,411,300
21,409,298
22,410,295
23,408,291
24,407,289
25,406,288
26,405,282
27,406,280
28,406,280
29,405,281
30,406,280
31,405,280
32,403,281
33,400,277
34,391,266
35,374,243
36,362,219
37,338,179
38,322,141
39,312,129
40,302,118
41,301,110
42,302,105
43,300,104
44,294,106
45,292,112
46,285,125
47,279,143
48,275,164
49,268,187
50,263,223
51,255,245
52,252,280
53,246,297
54,243,313
55,235,324
56,237,330
57,237,327
58,236,320
59,237,317
60,240,316
61,237,312
62,237,311
63,240,311
64,239,311
65,238,309
66,238,306
67,239,299
68,242,294
69,241,290
70,243,291
71,244,291
72,244,290
73,245,289
74,245,290
75,244,288
76,244,287
77,244,287
78,244,287
79,244,288
80,246,287
81,251,281
82,263,251
83,275,223
84,281,177
85,285,119
86,301,105
87,302,108
88,319,100
89,330,111
90,337,133
91,338,162
92,336,170
93,335,178
94,334,189
95,335,204
96,345,228
97,361,251
98,377,270
99,387,290
